lead_id,nome_contato,cargo,empresa,setor,trilha,oferta_principal,origem,responsavel_sdr,status_funil,data_criacao,icp_fit_score,modo
1,Sra. Vitória Albuquerque,Analista de Dados,Casa Grande,Geral,T-DADOS,Plataforma de dados e governanca,Inbound,Bruno Alves,Reuniao Agendada,2026-07-15,5,Lead a lead
2,Letícia Ribeiro,Coordenadora de Infraestrutura,Pastor - ME,Financeiro,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Bruno Alves,Qualificado,2026-08-23,1,Lead a lead
3,Davi Luiz da Luz,Gestor de Infraestrutura,Cirino,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Evento,Bruno Alves,Qualificando,2026-04-29,3,Lead a lead
4,Cauê Souza,CTO,Aragão - EI,Geral,T-EXEC,Modernizacao e IA em producao,Evento,Fernanda Lima,Qualificando,2026-08-06,2,Lead a lead
5,Daniela da Mata,Head de Produto,Cassiano,Financeiro,T-PROD,IA embarcada no produto,Outbound,Fernanda Lima,Perdido,2026-06-10,5,Account-based
6,Gustavo Henrique Silva,Coordenador de TI,Peixoto Ltda.,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Outbound,Rafael Souza,Novo,2026-05-01,3,Lead a lead
7,Sr. João Montenegro,CISO,Castro,Geral,T-EXEC,Modernizacao e IA em producao,Outbound,Bruno Alves,Reuniao Agendada,2026-08-29,1,Lead a lead
8,Isis Aragão,CTO,Casa Grande,Geral,T-EXEC,Modernizacao e IA em producao,Indicacao,Bruno Alves,Qualificando,2026-05-22,2,Lead a lead
9,Otávio da Mota,Analista de Dados,Fogaça,Geral,T-DADOS,Plataforma de dados e governanca,Inbound,Bruno Alves,Qualificado,2026-08-03,3,Account-based
10,Alexandre Farias,Product Manager,Carvalho Moraes - ME,Geral,T-PROD,IA embarcada no produto,Inbound,Camila Rocha,Perdido,2026-09-01,4,Lead a lead
11,João Castro,Coordenador de TI,da Luz Gonçalves S.A.,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Rafael Souza,Qualificando,2026-06-27,4,Account-based
12,Sra. Mariane Novais,Coordenador de TI,Guerra Araújo S.A.,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Indicacao,Juliana Prado,Qualificando,2026-04-25,5,Lead a lead
13,Daniel Barbosa,Gerente de TI,da Luz Moura - EI,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Camila Rocha,Perdido,2026-05-12,2,Account-based
14,Srta. Ísis Andrade,Gestor de Infraestrutura,da Mota Rios - ME,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Evento,Rafael Souza,Qualificado,2026-08-30,4,Account-based
15,Sr. Pedro Cardoso,Gestor de Infraestrutura,Correia Correia - EI,Financeiro,T-GESTAO,Otimizacao de nuvem e licenciamento,Indicacao,Fernanda Lima,Novo,2026-08-17,4,Account-based
16,Leandro Fonseca,Coordenador de TI,da Luz Gonçalves S.A.,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Juliana Prado,Perdido,2026-07-10,3,Account-based
17,Luiz Henrique Costela,Diretor de Tecnologia,Novaes,Financeiro,T-EXEC,Modernizacao e IA em producao,Outbound,Juliana Prado,Qualificando,2026-08-05,1,Lead a lead
18,Isadora Rios,Coordenadora de Infraestrutura,Rodrigues Duarte S/A,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Juliana Prado,Perdido,2026-09-01,1,Account-based
19,Luiz Gustavo Vasconcelos,Analista de Dados,Macedo,Geral,T-DADOS,Plataforma de dados e governanca,Inbound,Rafael Souza,Perdido,2026-08-14,2,Lead a lead
20,Maria Luísa Pinto,Coordenador de Suporte,Pereira e Filhos,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Inbound,Fernanda Lima,Qualificando,2026-04-30,3,Account-based
21,Srta. Isabela Castro,Gestor de Infraestrutura,Aparecida,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Camila Rocha,Qualificando,2026-07-14,5,Lead a lead
22,Noah Alves,Gestor de Infraestrutura,Alves e Filhos,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Bruno Alves,Novo,2026-08-28,1,Lead a lead
23,Lucas Gabriel Viana,CTO,Rodrigues Duarte S/A,Geral,T-EXEC,Modernizacao e IA em producao,Evento,Bruno Alves,Qualificado,2026-07-06,5,Account-based
24,Isadora da Mata,Gerente de TI,Aragão - EI,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Inbound,Camila Rocha,Novo,2026-06-03,4,Lead a lead
25,Cauê Garcia,IT Manager,da Luz,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Camila Rocha,Qualificando,2026-09-02,3,Lead a lead
26,Ravy Câmara,CTO,Castro,Geral,T-EXEC,Modernizacao e IA em producao,Evento,Bruno Alves,Qualificando,2026-07-29,3,Lead a lead
27,Raul Ferreira,Gerente de TI,Aragão - EI,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Camila Rocha,Reuniao Agendada,2026-04-28,5,Lead a lead
28,Ian Câmara,CTO,Pacheco Peixoto S/A,Geral,T-EXEC,Modernizacao e IA em producao,Inbound,Rafael Souza,Qualificado,2026-07-17,2,Lead a lead
29,Gael Guerra,CTO,Rodrigues e Filhos,Financeiro,T-EXEC,Modernizacao e IA em producao,Evento,Fernanda Lima,Perdido,2026-09-15,4,Lead a lead
30,Dr. Bernardo Vargas,Coordenador de Suporte,Cassiano,Geral,T-INFRA,Outsourcing e alocacao de especialistas,Evento,Bruno Alves,Novo,2026-04-26,2,Account-based
31,Luiz Fernando Ramos,Product Manager,Fonseca,Geral,T-PROD,IA embarcada no produto,Outbound,Juliana Prado,Qualificado,2026-09-01,5,Lead a lead
32,Maria Liz Rocha,Coordenador de Suporte,Pacheco Peixoto S/A,Financeiro,T-INFRA,Outsourcing e alocacao de especialistas,Outbound,Juliana Prado,Novo,2026-07-30,2,Lead a lead
33,Luísa Alves,Gestor de Infraestrutura,da Conceição S/A,Geral,T-GESTAO,Otimizacao de nuvem e licenciamento,Outbound,Juliana Prado,Novo,2026-04-16,5,Lead a lead
